Algorithm,Method,File,Minimum_Utility,Execution_Time,Frequent_Patterns,GPU_Memory_Usage,CPU_Memory_Usage
DPHIM,local,kosarak_utility_spmf,750000,19846,229,,350208.0
DPHIM,global,kosarak_utility_spmf,750000,20620,229,,605184.0
DPHIM,local,kosarak_utility_spmf,775000,9171,206,,351232.0
DPHIM,global,kosarak_utility_spmf,775000,9508,206,,374784.0
DPHIM,local,kosarak_utility_spmf,800000,8090,191,,351232.0
DPHIM,global,kosarak_utility_spmf,800000,8347,191,,377856.0
DPHIM,local,kosarak_utility_spmf,825000,7658,183,,350208.0
DPHIM,global,kosarak_utility_spmf,825000,7928,183,,370688.0
DPHIM,local,kosarak_utility_spmf,850000,7304,170,,349184.0
DPHIM,global,kosarak_utility_spmf,850000,7475,170,,362496.0
DPHIM,local,kosarak_utility_spmf,875000,6868,163,,349184.0
DPHIM,global,kosarak_utility_spmf,875000,7068,163,,369664.0
